,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
258,46,103,740,770,3,0.7,42,122,34,102,9,10,420,2,7,1,1.0,0,1,0.5
259,36,27,620,770,2,0.7999999999999999,122,116,90,120,12,16,320,9,8,1,1.0,0,1,0.8999999999999999
260,37,84,450,200,1,0.5,2,128,114,116,12,8,240,7,4,1,0.8999999999999999,1,1,0.8999999999999999
261,74,117,220,790,4,0.8999999999999999,12,103,26,90,8,16,280,2,7,0,0.7999999999999999,1,0,1.0
262,43,32,530,170,1,0.5,96,97,120,92,9,6,380,8,3,1,0.7,0,0,0.7999999999999999
263,82,116,890,570,2,0.5,94,53,102,28,10,9,420,10,4,1,1.0,0,1,0.8999999999999999
264,61,80,440,600,4,0.7,104,103,122,68,7,8,20,5,7,0,1.0,0,1,0.5
265,127,31,800,650,4,0.7,112,116,122,108,11,8,380,9,2,1,0.8999999999999999,1,0,0.6
266,48,72,150,810,2,0.6,6,110,84,118,6,11,460,7,4,0,0.8999999999999999,0,0,0.6
267,119,52,700,540,3,0.7999999999999999,110,26,74,48,9,12,40,3,4,0,0.7999999999999999,0,0,0.7999999999999999
268,123,26,100,460,2,0.7999999999999999,34,127,124,36,6,11,280,9,5,1,1.0,1,0,0.7
269,52,66,770,450,3,0.6,116,106,62,116,10,16,40,10,6,1,0.5,1,1,0.8999999999999999
270,40,76,310,170,3,0.5,6,74,60,86,12,8,200,4,4,1,0.8999999999999999,0,0,0.8999999999999999
271,116,109,960,640,1,1.0,74,79,26,100,6,8,160,5,8,1,0.7,1,1,1.0
272,55,99,780,800,4,1.0,36,83,126,28,7,6,340,6,5,0,0.7,0,0,0.8999999999999999
273,55,61,200,380,1,0.7999999999999999,20,104,116,124,7,15,260,9,3,1,0.8999999999999999,0,0,0.7
274,46,95,260,290,2,0.6,2,101,26,100,12,7,320,5,1,0,1.0,0,0,0.6
275,122,74,480,500,4,0.5,118,30,46,124,7,16,280,10,3,1,0.7,1,1,0.6
276,80,83,620,370,2,0.8999999999999999,58,48,90,48,6,14,180,6,5,0,0.6,1,1,0.7
277,91,99,160,230,3,0.7999999999999999,94,46,56,30,10,15,120,9,6,0,0.7999999999999999,0,0,0.7999999999999999
278,94,69,490,810,2,0.7,54,125,102,90,7,15,200,7,5,0,0.5,1,1,1.0
279,115,55,520,660,5,0.5,88,122,32,34,10,8,240,5,8,0,0.6,0,0,0.5
280,38,68,360,650,3,0.7,106,118,108,24,9,6,420,2,1,1,0.7,0,0,0.7999999999999999
281,102,125,110,880,4,0.8999999999999999,52,104,100,128,11,8,280,7,2,0,0.6,0,0,0.5
282,77,112,910,570,4,0.6,60,37,88,104,10,16,320,1,3,1,0.8999999999999999,0,1,0.5
283,88,91,220,490,4,1.0,110,105,70,30,6,8,420,5,3,0,0.7,0,1,0.8999999999999999
284,24,87,440,250,5,0.7999999999999999,54,86,78,42,7,10,360,8,2,1,1.0,1,1,0.5
285,59,61,970,880,2,0.6,100,116,64,110,10,13,260,4,4,1,0.7999999999999999,1,0,0.5
286,67,37,470,420,1,0.7,98,33,114,90,7,8,160,1,6,0,0.7999999999999999,1,0,0.8999999999999999
287,128,108,360,540,2,1.0,68,109,88,62,12,16,360,1,1,1,0.6,0,1,0.7999999999999999
288,108,34,360,500,4,0.7999999999999999,88,50,34,34,7,6,20,3,3,0,1.0,1,0,0.7
289,125,26,520,930,5,0.7999999999999999,34,125,116,118,7,7,100,3,8,0,1.0,0,0,1.0
290,50,53,720,430,3,0.6,4,96,70,88,8,10,140,4,5,0,0.8999999999999999,1,0,0.8999999999999999
291,112,77,120,740,5,0.7,102,118,88,102,10,12,420,3,1,1,0.7,1,1,0.6
292,33,59,460,610,4,0.7,52,41,30,106,8,10,220,7,4,0,0.8999999999999999,0,0,0.7999999999999999
293,119,57,330,200,5,0.6,36,61,112,118,12,16,380,7,8,0,0.6,0,1,0.6
294,103,98,740,970,1,0.5,34,104,42,88,6,16,60,6,4,0,1.0,0,0,0.5
295,44,106,260,300,1,0.7999999999999999,30,118,36,128,11,9,20,2,6,1,0.7,1,0,0.7999999999999999
296,100,114,230,940,4,0.6,10,59,110,66,7,16,260,1,3,0,0.8999999999999999,1,0,0.7999999999999999
297,106,62,800,790,1,0.7999999999999999,66,70,114,40,11,16,120,7,6,1,1.0,0,1,0.6
298,102,89,990,780,5,0.7999999999999999,6,127,50,82,11,15,140,8,7,0,1.0,1,0,0.7999999999999999
299,58,62,300,280,3,0.6,8,108,88,56,10,10,40,2,2,1,0.7999999999999999,0,1,1.0
300,77,93,740,930,2,0.5,70,97,60,62,9,14,440,10,5,0,0.7999999999999999,0,0,0.6
301,42,42,560,160,3,0.8999999999999999,16,86,68,66,10,8,120,4,6,1,0.5,1,0,0.7
302,83,89,840,320,3,0.5,72,31,62,48,8,14,280,3,2,1,0.7,1,0,0.7999999999999999
303,124,86,780,820,4,0.8999999999999999,86,82,122,90,11,12,180,6,2,1,1.0,0,1,0.7
304,110,106,910,600,1,0.8999999999999999,56,86,36,80,8,7,480,3,8,1,0.6,0,1,0.5
305,125,83,490,780,4,0.7,112,98,42,52,6,11,200,10,6,0,0.6,1,1,0.5
306,100,127,730,340,1,0.7,102,86,28,114,9,14,440,1,7,0,0.7,1,0,0.8999999999999999
307,73,106,260,630,2,1.0,122,120,72,118,6,10,320,8,2,0,0.5,0,1,0.5
308,109,93,130,540,4,0.7999999999999999,98,67,70,110,8,6,340,8,2,1,0.8999999999999999,0,0,0.5
309,43,28,360,560,2,0.5,108,64,124,56,9,7,280,3,4,1,0.7,1,0,0.6
310,116,107,460,740,4,1.0,112,63,128,80,12,12,100,7,5,1,0.7999999999999999,0,0,0.6
311,108,70,240,620,4,0.8999999999999999,88,36,40,72,10,11,400,2,3,0,0.5,0,1,0.7999999999999999
312,95,123,910,600,5,0.8999999999999999,4,32,102,118,7,11,100,9,5,0,0.8999999999999999,0,1,0.6
313,34,82,950,890,1,0.5,126,41,84,38,10,9,120,6,2,0,0.6,1,1,0.7
314,96,96,700,190,2,0.7,122,25,70,60,10,14,240,6,3,0,0.5,1,1,0.6
315,37,75,320,150,4,1.0,62,128,60,82,8,8,420,2,1,1,0.7,1,0,1.0
316,62,60,760,400,5,0.7,116,47,88,66,10,16,100,9,8,1,0.7,1,1,0.7999999999999999
317,40,118,870,120,4,0.7999999999999999,92,89,126,56,12,8,60,5,8,1,0.7999999999999999,0,1,1.0
318,105,106,550,180,1,0.8999999999999999,26,30,100,78,8,6,280,3,4,1,0.7999999999999999,1,0,0.7
319,84,27,830,790,5,0.5,92,41,106,26,9,16,20,8,3,1,0.5,0,1,0.5
320,52,60,220,570,3,0.7999999999999999,76,124,66,60,6,11,160,2,3,0,0.7,0,1,0.8999999999999999
321,48,117,860,920,4,0.7,112,96,74,58,6,10,20,5,3,0,0.5,0,0,0.8999999999999999
322,48,41,610,910,2,0.7,88,41,118,128,8,10,60,7,3,0,0.5,0,1,0.7999999999999999
323,120,28,110,730,2,0.6,8,78,96,44,8,16,480,5,8,0,0.8999999999999999,0,1,0.6
324,69,68,140,980,5,0.6,48,62,26,90,8,8,40,1,1,1,0.5,0,0,0.5
325,122,96,960,480,4,1.0,80,52,72,94,7,11,380,7,7,1,0.6,0,0,0.6
326,48,104,330,640,1,0.5,96,53,56,94,9,8,320,6,8,1,0.6,0,0,0.6
327,94,87,470,510,1,0.7999999999999999,110,89,32,104,6,11,240,7,5,0,0.7,0,0,0.5
328,81,76,430,150,1,0.7,32,100,110,46,9,6,80,5,6,1,1.0,0,0,0.6
329,127,73,150,400,1,0.7999999999999999,82,41,84,38,11,11,440,5,5,1,0.8999999999999999,1,1,0.6
330,90,108,1000,440,3,0.6,126,46,52,110,11,14,480,6,1,1,0.7999999999999999,0,1,0.8999999999999999
331,101,44,650,750,2,0.7,70,124,98,78,10,8,60,1,3,0,0.7,1,1,1.0
332,30,105,630,210,2,0.7,12,48,118,82,7,10,40,3,6,1,0.7,1,0,0.6
333,38,104,930,690,1,0.5,92,113,94,56,12,15,480,4,3,0,1.0,0,1,0.7999999999999999
334,36,46,150,960,2,0.6,22,106,126,96,9,9,300,2,4,1,0.7999999999999999,0,0,0.6
335,38,99,410,400,1,0.7999999999999999,80,86,96,50,10,13,200,10,5,1,0.7999999999999999,1,1,0.5
336,32,30,190,880,1,0.6,34,40,84,42,8,6,300,9,1,0,0.5,1,0,1.0
337,101,101,700,350,1,0.5,116,97,54,34,10,12,20,4,3,1,0.5,0,1,0.8999999999999999
338,111,44,830,920,3,0.6,22,64,72,38,6,6,20,1,7,0,0.7999999999999999,1,1,0.7
339,125,51,370,480,1,0.5,36,89,30,24,6,8,120,9,3,0,0.7999999999999999,1,0,1.0
340,31,66,240,110,4,0.6,32,121,62,74,9,7,120,10,3,1,0.5,0,1,0.7999999999999999
341,90,45,280,190,5,0.7,74,117,46,34,8,15,480,2,8,1,0.7,0,0,0.5
342,30,27,120,800,5,0.7,108,70,52,82,8,6,420,1,4,1,0.6,0,0,0.7999999999999999
343,66,25,980,630,5,0.5,26,118,88,28,8,16,300,2,7,0,0.5,0,1,0.7
344,67,71,390,320,2,0.6,2,102,116,86,12,16,460,1,4,1,0.7,1,0,1.0
345,43,69,770,920,3,0.7,106,27,58,120,6,13,360,5,1,1,0.6,0,1,0.7
346,38,95,980,690,5,0.7,38,78,112,100,10,10,240,4,7,0,0.8999999999999999,0,0,0.7
347,25,73,510,760,2,0.8999999999999999,126,113,62,126,10,10,160,6,2,0,0.7,0,0,0.6
348,111,110,720,620,4,1.0,80,62,50,58,12,12,20,3,8,1,1.0,1,1,0.5
349,30,69,510,360,3,0.6,120,44,38,122,12,7,20,9,7,1,1.0,1,0,1.0
350,120,46,910,490,5,0.7999999999999999,94,82,34,34,7,6,300,1,7,0,0.7999999999999999,1,0,1.0
351,30,102,1000,770,2,0.8999999999999999,62,99,116,98,9,11,400,10,7,0,0.5,1,1,0.7
352,62,43,270,290,2,0.6,76,118,50,76,7,14,220,9,6,1,0.6,1,1,0.6
353,118,102,1000,880,1,0.5,54,120,34,80,12,15,500,1,6,0,1.0,0,1,0.6
354,52,123,630,730,2,0.7999999999999999,72,54,70,112,11,16,320,10,1,1,0.6,0,0,0.8999999999999999
355,46,97,820,100,3,0.8999999999999999,24,117,42,68,7,16,220,6,4,1,0.8999999999999999,1,1,0.5
356,27,80,520,650,2,0.5,30,117,116,84,12,16,280,6,7,0,0.7999999999999999,1,1,0.7
357,90,123,760,670,2,0.5,122,104,88,28,11,15,360,6,6,1,0.5,1,0,1.0
358,52,46,960,220,2,0.7999999999999999,54,50,116,124,6,13,260,3,1,1,0.7,1,0,0.6
359,48,123,820,790,4,0.6,52,109,114,80,6,13,440,8,7,1,1.0,1,1,0.7999999999999999
360,45,33,380,320,3,0.5,66,34,52,54,12,11,500,2,8,1,1.0,1,1,1.0
361,25,108,350,680,5,0.5,62,120,114,86,6,10,200,9,3,1,0.7,1,1,0.8999999999999999
362,67,26,790,240,4,0.5,36,126,52,56,7,6,380,2,6,1,0.7999999999999999,0,0,0.7
363,90,61,500,650,1,1.0,8,79,100,70,8,14,500,6,8,0,0.7,1,0,0.5
364,50,117,590,220,4,0.8999999999999999,12,33,86,76,7,7,500,2,6,1,0.7,0,0,0.6
365,106,57,240,250,3,0.7999999999999999,42,115,74,34,9,16,160,6,7,0,0.8999999999999999,0,0,0.7
366,98,114,940,290,4,1.0,26,123,102,30,6,11,120,4,8,1,0.5,0,0,0.7999999999999999
367,101,71,950,240,4,0.5,46,63,84,90,10,15,160,6,4,0,0.7,0,1,1.0
368,44,44,710,820,3,1.0,74,29,84,94,10,12,180,1,4,1,1.0,0,1,1.0
369,75,26,890,220,2,0.8999999999999999,70,118,104,42,11,9,300,10,8,0,0.8999999999999999,0,0,0.5
370,121,116,510,970,1,0.8999999999999999,46,124,86,34,10,12,300,2,2,0,0.5,1,0,1.0
371,118,97,890,700,2,0.7999999999999999,74,36,26,102,8,13,360,6,4,0,0.6,0,1,0.7
372,101,125,170,210,4,0.6,64,59,86,26,11,16,300,9,3,1,0.7,0,0,0.5
373,65,34,700,840,3,0.8999999999999999,30,49,124,54,7,8,400,5,8,1,0.6,1,0,0.7
374,48,80,970,190,1,1.0,24,123,56,56,12,9,160,10,6,1,0.6,0,1,0.7999999999999999
375,128,53,680,450,4,0.6,24,65,80,98,12,13,320,7,2,1,0.5,1,0,1.0
376,107,119,310,940,3,0.8999999999999999,28,110,82,126,6,15,200,1,4,0,1.0,1,1,0.8999999999999999
377,64,24,580,700,5,1.0,28,113,76,64,6,15,480,7,8,0,0.6,0,0,0.8999999999999999
378,87,98,710,790,2,0.7999999999999999,64,103,84,24,9,13,40,2,3,0,1.0,1,1,1.0
379,24,24,160,150,5,0.7999999999999999,88,26,122,128,7,11,460,8,8,0,0.7999999999999999,1,0,0.8999999999999999
380,121,98,900,380,1,1.0,4,107,78,104,8,16,320,10,3,0,0.6,1,0,0.7999999999999999
381,127,71,740,220,3,0.7,116,127,68,100,10,15,180,6,1,0,0.8999999999999999,0,0,1.0
382,54,106,110,660,4,0.7999999999999999,80,123,92,34,7,8,360,1,5,0,1.0,0,0,0.5
383,108,29,700,780,2,0.7,6,76,58,36,10,9,180,5,4,1,0.5,0,0,0.5
384,68,94,750,870,5,0.7,36,71,30,24,8,7,100,5,1,0,0.5,1,1,0.5
385,113,36,780,360,4,1.0,56,108,100,110,7,15,400,4,6,1,0.7,0,1,1.0
386,126,107,350,260,1,0.5,96,67,36,82,7,14,400,9,7,1,0.6,1,0,1.0
387,54,81,200,330,5,0.7999999999999999,120,29,72,26,11,16,300,3,1,1,1.0,1,1,0.7
388,31,65,980,850,4,0.5,76,61,44,50,7,10,400,5,5,0,0.8999999999999999,0,1,0.7999999999999999
389,58,69,840,840,1,0.8999999999999999,66,77,94,86,9,9,360,1,5,0,0.8999999999999999,0,0,1.0
390,55,42,830,630,5,0.8999999999999999,72,123,58,58,8,11,180,7,7,1,0.7,0,0,0.5
391,28,128,860,130,3,1.0,100,53,126,96,10,12,140,8,8,0,0.7999999999999999,0,1,0.6
392,34,101,280,550,1,0.5,38,85,60,72,11,14,300,10,6,1,0.8999999999999999,1,1,1.0
393,104,125,960,810,5,0.7999999999999999,12,105,26,38,11,9,40,2,2,0,1.0,0,1,0.8999999999999999
394,58,124,840,230,2,0.8999999999999999,50,97,28,72,12,6,420,2,4,0,0.6,1,1,0.6
395,115,114,550,710,1,0.7,72,100,100,42,8,9,400,4,1,1,1.0,0,1,0.5
396,55,84,260,580,3,0.8999999999999999,14,118,96,84,7,14,380,5,2,1,0.7,0,0,0.7
397,30,126,640,710,2,0.8999999999999999,18,49,26,96,12,15,280,9,1,1,0.5,1,0,0.7
398,38,127,940,870,3,0.8999999999999999,78,40,90,50,11,7,460,9,2,1,0.7999999999999999,1,1,0.7999999999999999
399,82,128,550,590,4,0.6,64,29,38,38,12,11,80,9,4,0,0.6,0,0,0.7
400,32,81,150,180,2,0.7,94,73,24,56,6,16,340,6,6,0,0.7,1,0,0.7
401,96,64,980,260,3,0.7,44,128,60,124,7,8,60,6,5,1,0.8999999999999999,1,1,0.5
402,86,85,460,760,2,0.5,48,59,126,54,6,13,240,5,8,0,0.7999999999999999,1,1,0.5
403,27,54,810,830,5,0.6,28,120,50,60,7,14,200,1,6,1,0.8999999999999999,1,1,1.0
404,56,31,500,890,2,0.8999999999999999,8,98,92,110,11,14,100,6,8,1,0.5,1,0,0.7
405,62,93,410,810,5,0.5,80,78,38,40,12,10,160,1,5,0,1.0,0,1,0.7999999999999999
406,53,96,620,390,2,1.0,64,41,124,98,12,8,280,4,1,1,0.7,1,1,0.8999999999999999
407,98,85,940,920,2,0.6,46,49,90,42,12,6,220,1,3,0,0.7,1,0,0.7999999999999999
408,46,51,900,480,1,0.5,74,42,116,58,9,11,140,9,3,1,0.6,1,0,0.5
409,102,118,290,950,5,0.8999999999999999,40,83,72,38,7,9,20,2,4,1,0.7999999999999999,0,0,0.8999999999999999
410,120,89,680,320,1,0.6,34,98,66,42,10,14,160,9,1,1,0.6,1,1,0.7
411,59,81,310,860,3,0.8999999999999999,98,60,122,82,10,15,280,6,3,0,0.8999999999999999,1,0,0.8999999999999999
412,72,64,1000,920,5,0.5,76,59,64,92,6,13,320,3,7,0,0.7,0,1,0.8999999999999999
413,29,91,200,620,5,0.6,126,58,74,46,8,11,100,8,1,0,0.7999999999999999,1,1,0.8999999999999999
414,54,107,360,870,1,0.7,42,54,58,92,9,12,280,5,5,0,0.7999999999999999,1,0,0.7
415,89,30,830,470,3,0.6,60,68,88,86,7,10,320,8,3,1,0.8999999999999999,1,1,0.5
416,70,38,100,140,2,0.5,36,61,116,32,10,12,40,8,1,1,0.7999999999999999,0,1,0.6
417,34,25,160,910,5,0.6,2,40,32,56,9,11,200,6,8,1,0.7999999999999999,1,0,0.8999999999999999
418,83,65,750,340,4,0.8999999999999999,12,24,68,116,10,7,500,5,4,0,0.6,0,1,0.7999999999999999
419,116,74,270,100,1,1.0,52,81,124,102,11,10,140,2,3,1,1.0,0,0,0.5
420,96,49,550,950,5,0.7,114,28,32,96,12,15,20,3,2,0,0.7,1,0,0.8999999999999999
421,92,122,190,200,2,0.7,10,127,58,58,12,16,100,5,8,1,0.5,0,0,0.5
422,99,45,610,520,5,0.8999999999999999,34,35,122,54,11,15,440,9,6,1,0.5,0,0,1.0
423,86,90,200,290,5,0.5,36,57,116,30,9,6,480,7,6,0,0.7,0,0,0.6
424,35,37,150,400,2,0.6,126,126,26,54,8,13,260,2,6,1,0.6,1,0,0.5
425,44,87,330,740,3,0.7,116,60,78,32,11,12,40,5,3,1,0.8999999999999999,0,0,1.0
426,44,124,100,230,3,0.7999999999999999,112,94,92,42,11,16,160,3,4,0,1.0,1,1,0.5
427,45,89,670,270,2,0.5,4,74,92,110,9,9,500,6,8,1,0.6,0,1,0.6
428,71,57,280,720,3,0.7,52,27,126,32,7,13,240,10,6,0,1.0,0,1,0.7999999999999999
429,92,28,310,250,1,0.5,118,37,106,28,10,7,360,8,8,0,0.6,0,0,1.0
430,104,93,910,440,2,1.0,30,101,120,114,8,8,220,10,7,0,1.0,0,1,1.0
431,73,109,260,260,4,0.7,94,71,34,30,10,14,400,9,4,1,0.7,1,0,0.8999999999999999
432,71,49,850,190,2,0.6,114,38,68,64,12,11,480,9,7,0,0.7,0,0,0.8999999999999999
433,41,120,730,530,5,0.5,76,34,64,68,7,16,360,10,5,1,0.5,1,1,0.6
434,75,61,960,650,1,0.6,112,119,126,96,9,16,20,2,6,1,0.6,1,1,0.7999999999999999
435,80,121,900,350,4,0.6,2,104,78,98,8,13,220,3,7,1,1.0,0,0,0.8999999999999999
436,31,124,440,510,3,1.0,62,30,24,102,8,10,280,9,2,0,0.8999999999999999,0,1,1.0
437,83,53,810,610,1,0.6,2,98,68,104,10,10,380,2,7,0,0.7,0,0,1.0
438,101,122,520,930,1,0.7999999999999999,80,55,118,48,10,12,60,3,1,1,0.7999999999999999,1,1,0.7
439,73,68,730,570,5,0.8999999999999999,12,63,54,28,6,7,280,1,2,1,0.6,1,0,0.5
440,85,79,300,700,3,0.6,100,117,54,82,11,13,60,6,7,0,0.8999999999999999,1,0,0.6
441,56,43,180,440,4,0.5,22,56,68,90,9,10,100,8,6,0,0.8999999999999999,1,1,0.7999999999999999
442,79,66,490,870,4,0.6,74,29,60,82,9,16,140,7,8,1,0.7999999999999999,0,1,0.7999999999999999
443,38,25,710,390,1,0.5,38,30,100,24,9,12,420,8,8,0,0.5,0,1,0.8999999999999999
444,117,65,870,470,2,0.7999999999999999,96,109,94,106,8,7,280,1,5,0,0.5,0,0,0.5
445,26,81,870,720,3,0.7,12,54,64,44,8,9,240,1,7,0,0.5,0,0,1.0
446,90,38,700,250,2,0.7,46,104,32,64,6,8,500,9,4,0,0.7999999999999999,0,0,1.0
447,71,30,880,590,1,1.0,72,96,30,30,8,16,500,5,2,1,0.7,0,0,0.7
448,78,103,810,220,2,0.7999999999999999,128,40,108,66,12,10,60,1,8,0,1.0,0,0,0.8999999999999999
449,59,120,330,460,2,0.7999999999999999,82,90,92,116,6,6,300,5,4,1,0.5,0,1,0.8999999999999999
450,66,33,460,810,3,0.8999999999999999,24,110,126,36,11,16,40,6,4,0,0.7999999999999999,0,1,0.6
451,63,80,420,540,5,0.5,24,128,46,100,7,14,240,7,1,0,0.7999999999999999,0,1,0.7999999999999999
452,92,106,240,500,1,0.7,2,99,32,116,8,13,300,10,5,0,0.5,0,0,0.5
453,68,93,560,150,4,1.0,48,64,120,90,7,9,480,7,5,1,0.7,0,0,0.7
454,70,65,530,510,2,1.0,112,42,100,80,12,15,160,1,8,1,0.6,0,1,0.7999999999999999
455,114,30,510,610,2,0.5,124,45,108,90,10,10,280,10,3,0,0.8999999999999999,0,0,0.5
456,28,49,180,410,1,1.0,12,117,76,58,10,8,440,9,2,1,0.5,0,0,0.5
457,26,116,330,980,5,1.0,62,45,80,60,11,8,20,1,7,1,0.7,1,0,1.0
458,25,62,990,980,3,0.7,88,42,84,104,7,13,260,5,4,1,0.7,0,0,1.0
459,125,83,140,320,3,0.7,60,112,102,110,12,13,120,2,3,1,0.5,0,1,0.8999999999999999
460,51,94,430,670,1,1.0,38,78,104,40,11,15,20,6,2,1,0.7,0,1,0.8999999999999999
461,50,71,1000,370,5,1.0,18,107,128,80,8,14,240,9,7,1,0.5,1,1,0.8999999999999999
462,104,95,340,860,3,0.8999999999999999,88,64,108,84,11,11,80,7,6,0,1.0,1,0,1.0
463,95,60,880,950,2,0.8999999999999999,44,87,98,116,11,11,500,3,5,0,0.8999999999999999,1,1,0.7999999999999999
464,62,108,450,580,5,1.0,100,79,110,82,11,14,240,2,5,1,0.8999999999999999,0,0,0.7
465,54,77,770,840,1,0.6,72,78,98,80,8,9,440,3,8,1,0.7,0,0,0.7
466,80,43,890,900,2,0.6,94,88,76,40,9,15,280,2,3,1,0.6,1,1,0.7
467,91,44,240,520,3,0.5,54,81,98,78,9,6,500,6,1,0,0.8999999999999999,1,1,0.7
468,65,79,790,250,3,1.0,14,67,124,68,9,6,340,3,8,0,1.0,1,0,0.7999999999999999
469,83,91,160,300,5,0.7,42,118,74,64,8,9,280,8,3,1,0.8999999999999999,0,0,0.7999999999999999
470,30,61,410,570,5,1.0,44,27,30,108,12,7,320,5,3,0,0.5,1,0,0.8999999999999999
471,51,70,820,350,3,0.8999999999999999,88,70,38,40,6,6,500,3,6,0,0.7999999999999999,0,1,1.0
472,110,53,480,700,3,1.0,48,37,66,100,8,16,380,8,7,1,0.6,0,1,0.5
473,85,24,440,600,1,0.6,114,53,104,82,9,11,160,6,3,1,0.8999999999999999,0,0,0.5
474,56,24,170,560,5,0.8999999999999999,38,33,48,74,11,12,120,7,1,1,0.7,0,0,0.5
475,51,38,630,360,2,0.8999999999999999,114,81,84,86,10,15,20,8,1,0,0.6,1,1,1.0
476,118,57,700,710,2,0.5,102,52,116,110,9,11,60,7,1,0,0.7999999999999999,1,0,0.8999999999999999
477,126,112,560,450,3,0.8999999999999999,60,104,38,44,8,10,480,1,1,0,0.5,1,1,0.5
478,32,102,770,720,4,0.8999999999999999,92,44,34,110,9,15,360,6,6,1,0.6,0,1,1.0
479,84,36,750,230,5,0.5,42,98,56,68,7,9,380,8,8,1,0.6,1,0,0.8999999999999999
480,64,81,100,290,5,1.0,10,54,118,70,6,11,320,7,4,1,1.0,0,1,0.6
481,24,95,100,900,1,1.0,36,90,92,118,7,12,500,1,8,0,0.7999999999999999,1,0,0.5
482,77,103,690,100,4,0.6,80,30,82,24,7,6,320,9,2,1,1.0,1,1,0.6
483,57,26,620,120,1,0.5,82,125,38,30,7,16,440,6,6,1,0.7,0,1,0.7999999999999999
484,90,106,920,240,5,0.5,76,29,110,106,11,12,480,5,1,1,1.0,1,0,0.8999999999999999
485,95,126,310,700,3,0.5,44,65,68,78,6,12,300,9,5,0,0.8999999999999999,0,0,1.0
486,58,95,420,400,4,0.6,74,49,118,114,10,12,180,4,6,0,0.8999999999999999,1,0,0.8999999999999999
487,76,98,980,150,1,0.7,50,46,102,70,6,6,60,1,2,0,0.5,0,0,0.8999999999999999
488,104,111,830,190,1,0.8999999999999999,102,46,52,64,8,15,240,1,1,1,1.0,1,0,0.6
489,82,53,520,590,1,1.0,26,99,48,36,9,12,100,7,7,1,0.8999999999999999,1,1,0.6
490,88,51,1000,180,4,0.5,96,65,48,24,7,7,300,4,2,0,0.7999999999999999,0,0,0.7999999999999999
491,97,100,670,660,3,0.5,58,77,86,36,9,12,80,3,5,1,0.7999999999999999,0,1,0.8999999999999999
492,63,34,440,860,5,0.5,52,93,34,36,7,8,420,1,8,1,0.5,1,1,0.7999999999999999
493,31,24,770,400,3,1.0,98,121,104,122,11,12,120,8,4,0,1.0,0,0,0.5
494,109,81,930,770,5,0.5,12,128,82,52,7,6,200,7,7,1,0.5,0,1,0.8999999999999999
495,120,57,840,500,2,0.7,126,126,98,94,9,16,60,10,7,0,0.7999999999999999,0,0,0.7
496,113,86,570,350,3,0.6,76,96,116,74,10,14,300,3,3,1,0.7999999999999999,1,1,0.6
497,73,56,390,320,5,0.7999999999999999,62,56,56,80,9,14,420,10,3,1,0.7999999999999999,0,0,0.8999999999999999
498,81,113,250,380,4,0.6,104,121,50,98,6,6,400,8,6,0,0.8999999999999999,0,1,0.8999999999999999
499,101,119,950,670,2,1.0,84,29,48,76,9,12,480,7,1,0,0.8999999999999999,1,1,0.6
500,55,95,210,740,1,0.8999999999999999,114,26,74,124,7,10,460,7,8,0,0.8999999999999999,0,0,0.5
501,69,119,480,190,2,0.7,34,30,124,114,9,9,500,8,4,0,0.5,1,1,0.8999999999999999
502,126,93,570,510,2,0.7,100,84,74,62,10,14,400,6,5,1,1.0,1,0,0.5
503,78,123,120,520,4,1.0,102,43,80,96,10,14,120,3,4,0,0.7,1,1,0.7999999999999999
504,77,65,160,520,5,0.5,36,128,100,60,8,11,440,6,8,0,1.0,1,1,0.7
505,56,60,170,250,1,1.0,114,26,90,100,11,12,40,8,1,1,0.8999999999999999,0,0,0.6
506,42,81,340,910,3,1.0,120,114,46,30,10,7,220,2,1,0,0.7999999999999999,1,0,0.7999999999999999
507,126,106,880,290,2,0.8999999999999999,112,82,98,112,7,13,340,8,3,0,0.7999999999999999,1,1,0.6
508,87,70,560,420,3,1.0,68,87,44,44,10,6,280,4,8,0,0.6,1,1,0.7
509,59,81,950,350,1,1.0,102,88,94,44,7,16,180,3,2,1,0.7,0,1,0.8999999999999999
510,97,87,580,770,2,0.6,70,46,102,64,11,15,260,1,7,1,0.5,0,0,0.7999999999999999
511,119,41,940,570,4,0.7999999999999999,34,101,96,46,8,11,360,4,6,1,0.7999999999999999,0,1,0.7
512,33,115,300,680,1,0.6,118,57,88,72,8,6,160,3,4,0,0.6,1,1,0.7
513,100,92,620,350,3,0.6,40,121,48,98,11,11,400,7,6,0,0.8999999999999999,1,1,0.8999999999999999
514,120,67,410,260,3,0.5,102,103,66,84,12,10,160,3,8,0,0.7,1,1,0.7999999999999999
515,111,89,870,720,2,0.5,88,63,126,48,10,6,420,1,3,1,0.6,1,0,1.0
516,104,47,180,200,5,0.6,28,73,110,80,8,6,340,2,1,1,1.0,0,0,0.6
517,63,68,700,540,4,0.7999999999999999,36,74,44,86,7,11,460,1,2,1,0.7,1,1,0.7999999999999999
518,74,55,820,310,1,0.7,34,34,74,50,7,10,420,3,1,0,0.7999999999999999,1,1,0.5
