,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
504,77m,65k,160,520ms,5,0.5,36m,128k,100m,60k,8g,11g,440s,6s,8,false,0.9999999999999999,true,true,0.7
505,56m,60k,170,250ms,1,0.9999999999999999,114m,26k,90m,100k,11g,12g,40s,8s,1,true,0.8999999999999999,false,false,0.6
506,42m,81k,340,910ms,3,0.9999999999999999,120m,114k,46m,30k,10g,7g,220s,2s,1,false,0.7999999999999999,true,false,0.7999999999999999
507,126m,106k,880,290ms,2,0.8999999999999999,112m,82k,98m,112k,7g,13g,340s,8s,3,false,0.7999999999999999,true,true,0.6
508,87m,70k,560,420ms,3,0.9999999999999999,68m,87k,44m,44k,10g,6g,280s,4s,8,false,0.6,true,true,0.7
509,59m,81k,950,350ms,1,0.9999999999999999,102m,88k,94m,44k,7g,16g,180s,3s,2,true,0.7,false,true,0.8999999999999999
510,97m,87k,580,770ms,2,0.6,70m,46k,102m,64k,11g,15g,260s,1s,7,true,0.5,false,false,0.7999999999999999
511,119m,41k,940,570ms,4,0.7999999999999999,34m,101k,96m,46k,8g,11g,360s,4s,6,true,0.7999999999999999,false,true,0.7
512,33m,115k,300,680ms,1,0.6,118m,57k,88m,72k,8g,6g,160s,3s,4,false,0.6,true,true,0.7
513,100m,92k,620,350ms,3,0.6,40m,121k,48m,98k,11g,11g,400s,7s,6,false,0.8999999999999999,true,true,0.8999999999999999
514,120m,67k,410,260ms,3,0.5,102m,103k,66m,84k,12g,10g,160s,3s,8,false,0.7,true,true,0.7999999999999999
515,111m,89k,870,720ms,2,0.5,88m,63k,126m,48k,10g,6g,420s,1s,3,true,0.6,true,false,0.9999999999999999
516,104m,47k,180,200ms,5,0.6,28m,73k,110m,80k,8g,6g,340s,2s,1,true,0.9999999999999999,false,false,0.6
517,63m,68k,700,540ms,4,0.7999999999999999,36m,74k,44m,86k,7g,11g,460s,1s,2,true,0.7,true,true,0.7999999999999999
518,74m,55k,820,310ms,1,0.7,34m,34k,74m,50k,7g,10g,420s,3s,1,false,0.7999999999999999,true,true,0.5
519,30m,74k,560,800ms,4,0.6,112m,40k,106m,100k,11g,8g,340s,8s,8,true,0.7999999999999999,true,false,0.5
520,43m,28k,130,260ms,2,0.5,4m,95k,28m,50k,10g,16g,40s,2s,7,false,0.9999999999999999,false,false,0.7
521,54m,73k,230,350ms,1,0.7,80m,102k,76m,96k,9g,13g,160s,3s,7,false,0.7,false,false,0.6
522,122m,92k,470,810ms,4,0.5,62m,89k,24m,98k,10g,11g,480s,9s,1,false,0.8999999999999999,true,true,0.6
523,38m,44k,710,410ms,4,0.7,98m,67k,56m,96k,9g,11g,480s,2s,3,true,0.6,false,true,0.7999999999999999
524,40m,66k,390,660ms,2,0.5,24m,101k,30m,70k,6g,16g,300s,2s,5,true,0.6,false,true,0.5
525,92m,119k,280,590ms,2,0.7999999999999999,26m,26k,120m,36k,12g,15g,60s,2s,2,false,0.9999999999999999,false,false,0.6
526,126m,103k,900,930ms,2,0.9999999999999999,66m,27k,84m,114k,10g,10g,420s,1s,3,true,0.5,false,true,0.9999999999999999
527,36m,65k,260,930ms,1,0.5,20m,26k,102m,84k,11g,11g,240s,4s,8,true,0.5,true,false,0.7
528,73m,74k,850,380ms,4,0.7,64m,63k,78m,42k,9g,15g,320s,9s,2,true,0.9999999999999999,true,true,0.5
529,101m,109k,600,780ms,4,0.9999999999999999,8m,47k,124m,94k,12g,12g,420s,1s,2,true,0.7,false,true,0.7999999999999999
530,32m,66k,500,980ms,1,0.9999999999999999,80m,106k,100m,94k,10g,6g,60s,2s,5,true,0.8999999999999999,false,false,0.7
531,32m,88k,730,300ms,3,0.8999999999999999,50m,54k,64m,54k,12g,9g,260s,3s,4,false,0.8999999999999999,true,false,0.7999999999999999
532,71m,38k,540,600ms,3,0.7,74m,58k,128m,30k,7g,10g,380s,4s,8,true,0.7999999999999999,true,true,0.5
533,71m,67k,970,990ms,4,0.6,126m,48k,74m,112k,6g,14g,100s,10s,8,true,0.9999999999999999,false,false,0.6
534,62m,89k,610,560ms,5,0.5,80m,125k,30m,46k,11g,16g,400s,5s,5,true,0.7999999999999999,true,true,0.6
535,84m,104k,110,800ms,3,0.6,16m,100k,46m,98k,7g,6g,440s,9s,5,false,0.8999999999999999,true,false,0.6
536,24m,104k,420,390ms,2,0.9999999999999999,70m,73k,76m,116k,9g,16g,40s,4s,8,false,0.6,true,false,0.7999999999999999
537,30m,85k,390,520ms,2,0.7999999999999999,2m,35k,90m,74k,7g,10g,400s,7s,8,true,0.7,true,false,0.7
538,39m,66k,900,340ms,1,0.6,52m,128k,116m,78k,11g,6g,300s,7s,4,true,0.6,true,true,0.5
539,126m,113k,780,950ms,4,0.8999999999999999,108m,82k,74m,112k,8g,15g,480s,2s,5,true,0.8999999999999999,true,false,0.7
540,78m,118k,830,320ms,2,0.8999999999999999,64m,86k,94m,124k,12g,12g,420s,2s,3,false,0.7,false,true,0.5
541,95m,63k,350,850ms,4,0.6,8m,60k,72m,100k,10g,15g,420s,2s,2,true,0.7999999999999999,true,true,0.6
542,55m,79k,940,460ms,4,0.5,20m,104k,118m,32k,12g,10g,20s,2s,1,false,0.6,false,false,0.5
543,79m,36k,430,560ms,3,0.9999999999999999,98m,83k,28m,116k,8g,9g,100s,3s,6,false,0.5,true,false,0.5
544,93m,112k,280,370ms,4,0.9999999999999999,10m,80k,112m,126k,12g,7g,140s,6s,8,true,0.9999999999999999,false,false,0.9999999999999999
545,106m,91k,290,120ms,2,0.6,28m,112k,122m,66k,8g,6g,180s,8s,5,true,0.9999999999999999,true,false,0.8999999999999999
546,24m,54k,820,390ms,1,0.8999999999999999,128m,60k,70m,62k,11g,13g,460s,9s,6,true,0.6,false,true,0.8999999999999999
547,89m,48k,560,810ms,3,0.5,118m,55k,40m,94k,12g,13g,340s,4s,5,true,0.7,false,true,0.8999999999999999
548,40m,94k,320,520ms,2,0.8999999999999999,76m,39k,34m,124k,11g,15g,400s,7s,6,true,0.9999999999999999,true,false,0.7999999999999999
549,44m,37k,500,710ms,3,0.8999999999999999,116m,114k,104m,30k,11g,8g,360s,10s,6,false,0.9999999999999999,false,true,0.7999999999999999
550,31m,61k,990,410ms,1,0.5,84m,33k,52m,64k,12g,13g,480s,3s,5,true,0.5,false,true,0.6
551,127m,79k,600,470ms,1,0.5,128m,59k,60m,68k,7g,8g,100s,2s,7,true,0.9999999999999999,false,true,0.7
552,88m,101k,340,870ms,2,0.5,34m,124k,24m,102k,10g,13g,20s,7s,7,true,0.8999999999999999,false,false,0.6
553,90m,63k,400,180ms,5,0.9999999999999999,98m,74k,94m,46k,8g,9g,240s,5s,1,false,0.8999999999999999,true,true,0.6
554,29m,44k,140,180ms,2,0.7,92m,62k,80m,52k,7g,9g,100s,3s,6,false,0.5,false,true,0.5
555,28m,32k,510,960ms,5,0.7,90m,128k,94m,102k,10g,16g,180s,3s,2,false,0.9999999999999999,true,false,0.5
556,96m,99k,860,750ms,1,0.5,32m,80k,64m,30k,12g,14g,100s,8s,6,false,0.8999999999999999,false,false,0.7999999999999999
557,103m,65k,650,710ms,5,0.7999999999999999,48m,85k,64m,118k,7g,9g,140s,9s,7,true,0.7999999999999999,true,true,0.5
558,24m,109k,1000,370ms,4,0.7,80m,42k,70m,58k,11g,8g,280s,8s,3,false,0.7,false,false,0.7
559,68m,73k,900,260ms,2,0.6,18m,73k,78m,64k,6g,14g,260s,3s,3,false,0.7999999999999999,true,false,0.8999999999999999
560,121m,72k,320,750ms,1,0.8999999999999999,108m,79k,118m,38k,12g,9g,60s,10s,8,true,0.6,true,false,0.7
561,89m,88k,900,910ms,1,0.7,108m,39k,84m,26k,9g,11g,400s,8s,7,false,0.9999999999999999,false,false,0.8999999999999999
562,102m,54k,160,150ms,4,0.5,112m,42k,112m,94k,8g,15g,180s,2s,5,true,0.9999999999999999,true,false,0.9999999999999999
563,77m,72k,790,130ms,4,0.8999999999999999,56m,120k,58m,44k,9g,11g,400s,10s,4,false,0.7999999999999999,false,false,0.9999999999999999
564,81m,87k,540,180ms,5,0.7999999999999999,46m,95k,36m,72k,10g,15g,360s,4s,1,true,0.6,true,true,0.9999999999999999
565,91m,79k,820,200ms,5,0.9999999999999999,20m,84k,32m,68k,11g,8g,340s,8s,8,true,0.5,false,true,0.9999999999999999
566,69m,111k,980,620ms,2,0.9999999999999999,98m,25k,62m,74k,6g,12g,320s,2s,2,true,0.9999999999999999,false,true,0.8999999999999999
567,42m,71k,690,500ms,1,0.8999999999999999,96m,127k,74m,104k,9g,14g,340s,6s,5,true,0.7999999999999999,true,false,0.9999999999999999
568,89m,60k,360,500ms,3,0.9999999999999999,104m,45k,110m,64k,9g,11g,240s,7s,3,true,0.8999999999999999,false,false,0.6
569,46m,73k,390,560ms,1,0.8999999999999999,50m,69k,94m,46k,7g,12g,260s,3s,3,false,0.7,true,false,0.8999999999999999
570,37m,84k,240,390ms,3,0.5,42m,107k,128m,64k,11g,16g,380s,2s,7,true,0.6,false,false,0.8999999999999999
571,38m,29k,500,190ms,2,0.6,32m,114k,66m,30k,12g,11g,360s,10s,1,true,0.8999999999999999,false,true,0.9999999999999999
572,42m,51k,210,660ms,4,0.7999999999999999,84m,89k,72m,82k,8g,15g,380s,6s,5,true,0.7999999999999999,false,false,0.5
573,53m,107k,450,940ms,4,0.7,42m,100k,46m,40k,9g,8g,40s,3s,7,true,0.8999999999999999,true,false,0.5
574,38m,123k,1000,200ms,4,0.9999999999999999,10m,94k,68m,70k,10g,15g,120s,5s,4,true,0.7999999999999999,true,true,0.9999999999999999
575,95m,106k,730,430ms,2,0.5,114m,113k,88m,28k,12g,16g,260s,9s,8,true,0.8999999999999999,true,true,0.8999999999999999
576,44m,56k,340,980ms,4,0.7,60m,111k,32m,88k,9g,15g,460s,8s,3,true,0.6,false,true,0.5
577,99m,32k,850,990ms,3,0.7,68m,127k,80m,88k,8g,15g,460s,4s,3,false,0.7999999999999999,true,true,0.7
578,50m,24k,450,700ms,2,0.5,120m,77k,92m,84k,10g,15g,40s,1s,2,true,0.7999999999999999,false,true,0.7999999999999999
579,86m,33k,430,540ms,3,0.8999999999999999,76m,77k,54m,88k,12g,14g,40s,8s,7,true,0.7,false,true,0.8999999999999999
580,42m,108k,340,840ms,4,0.7,82m,104k,126m,110k,12g,15g,460s,6s,1,true,0.7999999999999999,true,false,0.7999999999999999
581,30m,104k,1000,530ms,5,0.6,62m,105k,80m,72k,9g,15g,480s,1s,6,false,0.5,true,false,0.9999999999999999
582,54m,27k,910,720ms,3,0.6,56m,60k,70m,120k,10g,8g,240s,10s,3,true,0.7,false,true,0.8999999999999999
583,36m,74k,100,140ms,5,0.5,100m,38k,96m,114k,7g,14g,480s,9s,1,false,0.5,false,true,0.6
584,48m,44k,680,900ms,5,0.9999999999999999,86m,52k,82m,26k,10g,10g,40s,8s,3,false,0.7999999999999999,true,true,0.9999999999999999
585,101m,49k,990,340ms,4,0.8999999999999999,6m,56k,102m,96k,6g,7g,20s,2s,3,false,0.6,false,false,0.9999999999999999
586,86m,121k,480,760ms,5,0.6,84m,39k,76m,82k,8g,7g,440s,7s,6,true,0.7999999999999999,false,false,0.9999999999999999
587,98m,80k,140,800ms,4,0.8999999999999999,46m,58k,44m,46k,11g,6g,100s,1s,5,true,0.6,false,true,0.7
588,62m,35k,240,630ms,5,0.5,20m,120k,68m,128k,12g,14g,500s,5s,5,false,0.7999999999999999,false,true,0.7999999999999999
589,59m,35k,840,100ms,2,0.7999999999999999,16m,126k,50m,120k,11g,16g,400s,6s,1,false,0.7999999999999999,false,false,0.7999999999999999
590,66m,112k,800,850ms,4,0.7999999999999999,44m,35k,38m,54k,9g,10g,180s,2s,4,true,0.8999999999999999,false,true,0.9999999999999999
591,68m,117k,460,220ms,1,0.6,14m,36k,26m,82k,7g,6g,380s,7s,3,true,0.5,true,false,0.6
592,39m,65k,880,1000ms,4,0.7,78m,112k,120m,60k,11g,11g,60s,3s,1,false,0.5,true,true,0.5
593,121m,45k,740,170ms,3,0.6,96m,56k,62m,28k,8g,11g,180s,6s,7,true,0.7999999999999999,true,true,0.5
594,31m,89k,890,530ms,2,0.7,70m,64k,28m,46k,12g,10g,160s,1s,3,true,0.7,false,true,0.7
595,54m,43k,560,570ms,4,0.7999999999999999,18m,102k,42m,24k,12g,12g,200s,5s,1,true,0.8999999999999999,true,true,0.6
596,125m,99k,590,480ms,3,0.7,64m,42k,74m,88k,12g,6g,400s,8s,8,true,0.6,false,false,0.6
597,38m,109k,940,560ms,4,0.8999999999999999,26m,38k,80m,106k,8g,15g,200s,10s,8,false,0.7,false,true,0.7
598,123m,42k,660,710ms,4,0.8999999999999999,40m,122k,54m,128k,8g,14g,300s,3s,3,false,0.6,true,false,0.7
599,86m,89k,400,310ms,5,0.6,80m,26k,112m,98k,8g,14g,40s,4s,5,true,0.9999999999999999,true,false,0.6
600,75m,37k,470,530ms,3,0.7,108m,27k,64m,54k,7g,10g,240s,6s,2,false,0.7,true,true,0.8999999999999999
601,128m,81k,810,200ms,2,0.7,64m,127k,28m,92k,9g,11g,20s,6s,4,true,0.7999999999999999,false,true,0.8999999999999999
602,125m,98k,420,1000ms,5,0.6,24m,89k,82m,100k,12g,16g,140s,6s,8,false,0.8999999999999999,false,true,0.7999999999999999
603,41m,38k,880,290ms,1,0.7999999999999999,24m,64k,24m,98k,9g,8g,100s,1s,1,false,0.7999999999999999,false,false,0.9999999999999999
604,58m,100k,740,410ms,4,0.6,48m,68k,66m,40k,10g,11g,260s,7s,2,false,0.7999999999999999,false,false,0.7999999999999999
605,112m,102k,440,270ms,5,0.9999999999999999,114m,87k,126m,30k,12g,13g,300s,8s,4,false,0.8999999999999999,true,true,0.7999999999999999
606,78m,36k,530,710ms,1,0.7,30m,49k,86m,90k,11g,12g,360s,3s,7,true,0.7999999999999999,true,false,0.5
607,32m,103k,580,390ms,2,0.6,44m,29k,122m,54k,10g,14g,500s,2s,4,false,0.7,false,false,0.5
608,60m,109k,840,790ms,3,0.8999999999999999,64m,69k,90m,46k,9g,12g,80s,9s,3,false,0.9999999999999999,false,false,0.8999999999999999
609,46m,59k,320,150ms,4,0.9999999999999999,36m,51k,38m,102k,7g,9g,400s,4s,8,true,0.7,true,false,0.6
610,116m,99k,740,350ms,1,0.5,86m,45k,56m,76k,12g,10g,20s,9s,4,true,0.5,true,true,0.7999999999999999
611,49m,75k,470,620ms,2,0.7,36m,100k,106m,80k,12g,12g,180s,10s,2,true,0.5,true,false,0.5
612,74m,34k,820,670ms,4,0.5,60m,98k,50m,70k,9g,16g,80s,10s,2,false,0.5,true,false,0.8999999999999999
613,94m,61k,190,490ms,2,0.5,66m,24k,56m,44k,9g,7g,460s,8s,8,true,0.7,true,false,0.8999999999999999
614,80m,67k,350,710ms,4,0.6,54m,84k,26m,50k,9g,10g,240s,3s,1,false,0.8999999999999999,false,false,0.5
615,83m,37k,570,470ms,2,0.7,112m,45k,108m,102k,7g,14g,120s,5s,4,true,0.7,false,true,0.8999999999999999
616,39m,118k,470,730ms,1,0.7,46m,114k,92m,102k,8g,10g,240s,5s,3,true,0.5,false,false,0.7999999999999999
617,80m,38k,510,710ms,4,0.7,82m,108k,36m,100k,6g,10g,160s,7s,5,false,0.7999999999999999,false,false,0.8999999999999999
618,119m,75k,580,620ms,4,0.7,96m,49k,96m,82k,8g,15g,240s,2s,7,true,0.7,true,true,0.7
619,106m,45k,760,170ms,1,0.8999999999999999,64m,43k,70m,48k,12g,6g,320s,3s,1,false,0.8999999999999999,false,true,0.6
620,107m,28k,920,320ms,4,0.7999999999999999,86m,93k,32m,114k,8g,10g,440s,10s,6,false,0.6,true,false,0.8999999999999999
621,75m,44k,880,860ms,1,0.7,60m,27k,58m,126k,11g,8g,180s,6s,3,false,0.7,false,true,0.6
622,90m,61k,890,260ms,2,0.8999999999999999,50m,91k,66m,84k,12g,13g,500s,6s,8,true,0.8999999999999999,false,false,0.6
623,77m,97k,780,880ms,2,0.7,90m,69k,28m,80k,8g,13g,80s,6s,1,true,0.8999999999999999,true,false,0.9999999999999999
624,57m,34k,180,160ms,2,0.8999999999999999,26m,78k,98m,28k,12g,13g,200s,5s,3,false,0.5,true,true,0.5
625,59m,34k,630,700ms,5,0.9999999999999999,4m,108k,44m,96k,11g,12g,220s,1s,8,true,0.6,true,false,0.9999999999999999
626,75m,56k,580,650ms,4,0.7,16m,74k,106m,36k,9g,14g,20s,5s,4,true,0.6,false,true,0.7
627,44m,71k,680,970ms,3,0.5,104m,71k,94m,108k,7g,11g,80s,8s,8,true,0.9999999999999999,true,false,0.6
628,119m,72k,930,690ms,1,0.5,6m,51k,84m,76k,9g,16g,400s,8s,7,false,0.7999999999999999,false,false,0.5
629,96m,44k,660,120ms,1,0.8999999999999999,68m,36k,120m,124k,10g,14g,240s,3s,6,false,0.7999999999999999,true,false,0.7999999999999999
630,77m,77k,420,310ms,4,0.8999999999999999,108m,71k,100m,76k,9g,6g,240s,1s,3,true,0.7999999999999999,false,true,0.6
631,96m,42k,460,880ms,2,0.7,22m,96k,110m,50k,10g,15g,240s,8s,6,true,0.5,false,false,0.7999999999999999
632,37m,104k,450,520ms,5,0.8999999999999999,64m,73k,64m,104k,6g,12g,120s,8s,4,true,0.8999999999999999,false,true,0.9999999999999999
633,78m,24k,780,470ms,1,0.5,24m,128k,88m,24k,10g,7g,320s,7s,6,true,0.7,false,true,0.8999999999999999
634,128m,121k,740,550ms,3,0.9999999999999999,62m,103k,70m,100k,11g,13g,380s,8s,1,true,0.7999999999999999,true,false,0.9999999999999999
635,72m,103k,560,820ms,3,0.6,2m,86k,122m,104k,12g,12g,200s,7s,4,true,0.5,false,false,0.7999999999999999
636,33m,28k,200,770ms,2,0.5,34m,70k,52m,98k,8g,8g,320s,8s,4,false,0.9999999999999999,true,true,0.8999999999999999
637,123m,52k,690,400ms,3,0.7999999999999999,58m,118k,84m,52k,11g,14g,220s,7s,7,false,0.7,true,false,0.8999999999999999
638,50m,76k,500,890ms,4,0.8999999999999999,40m,55k,42m,58k,11g,12g,120s,4s,3,false,0.6,true,true,0.7999999999999999
639,28m,101k,450,650ms,4,0.9999999999999999,70m,90k,28m,24k,9g,13g,200s,3s,5,true,0.5,true,false,0.7999999999999999
640,117m,76k,860,470ms,4,0.8999999999999999,42m,86k,56m,50k,11g,8g,440s,5s,1,true,0.5,true,true,0.7
641,123m,43k,110,210ms,5,0.6,104m,98k,40m,84k,10g,10g,160s,3s,4,true,0.7,false,true,0.5
642,28m,76k,480,660ms,3,0.5,20m,64k,40m,80k,7g,7g,60s,2s,4,false,0.8999999999999999,true,true,0.8999999999999999
643,59m,63k,350,500ms,2,0.5,14m,106k,86m,120k,8g,8g,20s,7s,6,true,0.8999999999999999,true,false,0.9999999999999999
644,34m,29k,790,640ms,5,0.7,118m,99k,124m,62k,6g,15g,380s,4s,3,false,0.5,false,false,0.9999999999999999
645,31m,29k,600,680ms,5,0.9999999999999999,58m,128k,28m,60k,7g,12g,100s,3s,1,true,0.6,true,false,0.6
646,69m,30k,960,620ms,1,0.7,98m,62k,94m,40k,9g,13g,320s,2s,5,true,0.9999999999999999,false,true,0.7999999999999999
647,58m,110k,160,530ms,2,0.7,106m,107k,116m,80k,9g,10g,20s,3s,5,true,0.7,false,false,0.6
648,25m,49k,580,810ms,4,0.6,48m,68k,60m,104k,9g,13g,280s,10s,6,true,0.7,true,true,0.5
649,95m,106k,670,1000ms,2,0.6,56m,97k,128m,92k,10g,7g,320s,1s,2,true,0.6,true,true,0.8999999999999999
650,127m,74k,960,760ms,5,0.8999999999999999,118m,102k,90m,118k,7g,13g,240s,2s,7,true,0.6,false,false,0.5
651,45m,42k,720,520ms,2,0.7,46m,100k,98m,32k,10g,11g,200s,4s,4,false,0.7999999999999999,true,false,0.5
652,89m,103k,870,710ms,4,0.6,58m,48k,58m,104k,6g,10g,440s,6s,4,true,0.7999999999999999,true,true,0.8999999999999999
653,70m,51k,300,1000ms,3,0.6,120m,64k,110m,102k,6g,8g,120s,1s,8,true,0.7999999999999999,false,false,0.7999999999999999
654,97m,29k,450,910ms,2,0.9999999999999999,66m,41k,40m,82k,10g,12g,480s,9s,8,true,0.6,true,true,0.7
655,128m,73k,590,600ms,2,0.8999999999999999,66m,79k,94m,36k,7g,14g,400s,3s,7,false,0.7,false,true,0.7
656,114m,59k,670,470ms,1,0.8999999999999999,70m,46k,62m,46k,10g,15g,40s,4s,7,false,0.6,false,false,0.8999999999999999
657,80m,81k,700,460ms,2,0.8999999999999999,86m,124k,38m,90k,8g,16g,240s,8s,1,false,0.6,true,false,0.7
658,37m,85k,140,390ms,3,0.8999999999999999,68m,74k,60m,120k,6g,6g,220s,2s,8,false,0.5,false,true,0.7
659,126m,76k,130,280ms,4,0.7,30m,66k,48m,38k,8g,7g,280s,5s,1,true,0.9999999999999999,false,false,0.5
660,62m,128k,980,450ms,4,0.9999999999999999,58m,97k,44m,28k,7g,7g,260s,2s,4,false,0.5,false,false,0.9999999999999999
661,37m,102k,870,150ms,1,0.8999999999999999,38m,120k,76m,116k,11g,10g,420s,8s,6,true,0.6,true,true,0.9999999999999999
662,47m,85k,350,910ms,4,0.8999999999999999,40m,76k,120m,36k,11g,15g,280s,8s,7,true,0.9999999999999999,false,false,0.6
663,73m,35k,940,790ms,3,0.5,48m,45k,78m,38k,9g,8g,440s,4s,5,false,0.7999999999999999,true,false,0.5
664,53m,112k,300,370ms,4,0.9999999999999999,58m,63k,112m,84k,11g,6g,120s,4s,7,true,0.7999999999999999,false,true,0.7
665,124m,120k,440,990ms,3,0.6,54m,92k,40m,30k,9g,14g,300s,1s,1,true,0.7999999999999999,true,true,0.8999999999999999
666,98m,89k,750,560ms,2,0.8999999999999999,38m,38k,128m,46k,6g,16g,60s,6s,2,false,0.6,true,true,0.7
667,125m,44k,210,280ms,4,0.8999999999999999,38m,108k,98m,62k,8g,15g,380s,9s,6,false,0.5,true,true,0.8999999999999999
668,53m,47k,380,330ms,5,0.6,98m,112k,32m,28k,8g,14g,180s,5s,7,false,0.7,true,false,0.8999999999999999
669,50m,75k,490,310ms,1,0.9999999999999999,76m,39k,28m,68k,11g,12g,260s,1s,2,true,0.5,false,true,0.8999999999999999
670,60m,57k,860,890ms,4,0.6,24m,76k,80m,90k,8g,8g,40s,4s,2,true,0.7,true,false,0.7999999999999999
671,29m,124k,320,950ms,5,0.6,8m,110k,84m,86k,10g,13g,320s,3s,3,false,0.9999999999999999,true,false,0.5
672,91m,72k,770,260ms,4,0.6,38m,95k,118m,38k,7g,16g,420s,5s,2,true,0.7999999999999999,false,false,0.5
673,48m,90k,300,610ms,2,0.6,108m,123k,72m,90k,6g,14g,360s,7s,3,false,0.5,true,true,0.5
674,122m,64k,390,520ms,3,0.7999999999999999,52m,108k,126m,106k,9g,12g,260s,2s,2,true,0.7,false,true,0.5
675,70m,114k,350,970ms,3,0.7999999999999999,86m,116k,52m,46k,10g,14g,320s,7s,5,true,0.5,true,true,0.7
676,126m,79k,420,740ms,5,0.5,56m,92k,92m,32k,6g,15g,420s,5s,6,true,0.5,true,false,0.7
677,90m,76k,880,420ms,1,0.7999999999999999,96m,76k,52m,116k,10g,15g,400s,3s,7,false,0.7999999999999999,true,true,0.7
678,78m,110k,740,690ms,1,0.8999999999999999,100m,80k,44m,42k,10g,16g,360s,1s,2,true,0.6,true,true,0.9999999999999999
679,52m,91k,190,960ms,2,0.6,120m,51k,124m,52k,10g,15g,500s,6s,3,true,0.7999999999999999,true,false,0.6
680,68m,126k,280,860ms,2,0.8999999999999999,82m,43k,114m,94k,8g,14g,280s,8s,6,false,0.5,true,true,0.7
681,44m,79k,1000,1000ms,2,0.7999999999999999,88m,84k,24m,68k,9g,16g,180s,7s,8,true,0.6,true,false,0.5
682,47m,34k,380,330ms,1,0.5,126m,48k,118m,116k,7g,14g,280s,5s,6,true,0.5,true,true,0.9999999999999999
683,42m,108k,320,690ms,1,0.5,44m,125k,120m,66k,10g,14g,300s,10s,4,true,0.8999999999999999,true,true,0.7
684,79m,80k,230,830ms,1,0.6,32m,24k,52m,72k,7g,9g,360s,9s,8,true,0.6,true,true,0.9999999999999999
685,83m,119k,140,990ms,4,0.9999999999999999,98m,90k,72m,46k,7g,12g,460s,8s,1,false,0.7999999999999999,false,true,0.9999999999999999
686,46m,96k,170,940ms,5,0.7999999999999999,26m,103k,38m,104k,8g,11g,200s,8s,2,false,0.8999999999999999,true,false,0.9999999999999999
687,90m,127k,580,510ms,5,0.6,54m,33k,26m,60k,7g,12g,200s,4s,8,true,0.9999999999999999,false,true,0.6
688,119m,96k,930,610ms,2,0.8999999999999999,62m,59k,74m,60k,6g,15g,340s,5s,5,false,0.7999999999999999,false,true,0.5
689,127m,124k,540,610ms,2,0.8999999999999999,32m,110k,88m,98k,6g,12g,120s,10s,5,true,0.7,true,false,0.9999999999999999
690,102m,32k,150,150ms,3,0.9999999999999999,102m,127k,42m,36k,7g,9g,340s,5s,4,false,0.7999999999999999,false,false,0.7
691,70m,106k,1000,120ms,1,0.6,28m,33k,42m,60k,8g,13g,420s,7s,3,true,0.6,true,true,0.6
692,73m,89k,950,700ms,5,0.9999999999999999,80m,91k,72m,48k,10g,13g,20s,2s,3,false,0.8999999999999999,true,true,0.5
693,105m,113k,500,510ms,1,0.6,74m,95k,28m,66k,7g,9g,120s,9s,6,true,0.9999999999999999,false,true,0.8999999999999999
694,109m,42k,250,500ms,2,0.6,8m,93k,98m,36k,8g,9g,320s,10s,2,false,0.7999999999999999,true,true,0.9999999999999999
695,127m,42k,860,560ms,5,0.6,80m,65k,46m,38k,10g,8g,460s,8s,1,true,0.5,true,false,0.8999999999999999
696,126m,92k,990,190ms,1,0.7999999999999999,112m,97k,36m,108k,7g,16g,180s,1s,3,false,0.7999999999999999,true,true,0.9999999999999999
697,114m,61k,690,510ms,2,0.6,70m,89k,34m,70k,12g,11g,40s,7s,4,false,0.6,false,true,0.5
698,95m,58k,690,780ms,4,0.7,48m,27k,96m,38k,6g,16g,100s,3s,6,true,0.8999999999999999,false,false,0.5
699,111m,89k,810,970ms,5,0.6,96m,109k,62m,40k,6g,10g,260s,7s,7,true,0.5,true,false,0.9999999999999999
700,34m,32k,990,170ms,3,0.5,30m,125k,48m,102k,7g,10g,140s,10s,8,true,0.9999999999999999,true,false,0.6
701,127m,55k,710,410ms,3,0.8999999999999999,104m,119k,78m,38k,10g,7g,220s,6s,7,true,0.6,false,false,0.5
702,41m,83k,840,360ms,2,0.7,26m,128k,114m,66k,11g,7g,440s,6s,2,false,0.6,false,true,0.6
703,85m,100k,700,910ms,4,0.7,18m,115k,102m,106k,9g,9g,360s,8s,3,true,0.5,true,false,0.9999999999999999
704,106m,31k,470,360ms,2,0.7,50m,30k,106m,128k,7g,10g,340s,10s,1,true,0.6,true,true,0.7999999999999999
705,75m,73k,590,560ms,3,0.9999999999999999,24m,48k,64m,50k,7g,6g,420s,2s,1,false,0.7999999999999999,true,false,0.5
706,81m,79k,350,640ms,4,0.5,102m,123k,32m,58k,9g,11g,200s,9s,1,true,0.6,true,false,0.5
707,28m,46k,460,630ms,3,0.5,2m,122k,54m,108k,7g,9g,140s,5s,5,false,0.7,true,false,0.6
